Country,Omicron,Non-Omicron,total
USA,2546397,2451035,4997432
UK,1436587,1692496,3129083
Germany,571748,373474,945222
Japan,448379,200104,648483
Denmark,373058,283722,656780
France,370708,293074,663782
Canada,339946,259842,599788
Austria,186111,88453,274564
Australia,169697,57137,226834
SouthKorea,150979,35721,186700
Spain,134327,116566,250893
Sweden,124100,149365,273465
Brazil,114959,130730,245689
India,111921,183225,295146
Israel,111897,44855,156752
Belgium,98663,83299,181962
Italy,93977,104391,198368
Netherlands,82193,91938,174131
China,64448,4010,68458
Ireland,60009,50768,110777
Switzerland,56792,109992,166784
Russia,49462,32544,82006
Mexico,45284,47556,92840
Poland,44848,49783,94631
Indonesia,39364,14114,53478
NewZealand,37627,6552,44179
Slovenia,36974,50008,86982
Peru,36731,16505,53236
Norway,35768,43709,79477
CzechRepublic,33923,27427,61350
Singapore,33766,11175,44941
Malaysia,32635,9909,42544
Luxembourg,31644,26716,58360
Slovakia,27812,19456,47268
SouthAfrica,26960,28424,55384
Chile,25579,20802,46381
Finland,25377,25795,51172
Croatia,25239,20344,45583
Thailand,25192,18556,43748
Portugal,24061,25006,49067
Greece,22889,13573,36462
Turkey,21859,80244,102103
PuertoRico,18347,6425,24772
Philippines,15490,13902,29392
Latvia,14356,13410,27766
Colombia,14116,15809,29925
HongKong,13707,5907,19614
Reunion,12125,9525,21650
Lithuania,12053,30999,43052
Romania,11737,9845,21582
Iceland,11231,11881,23112
CostaRica,9598,2440,12038
Argentina,9584,17010,26594
Bulgaria,7794,13737,21531
Mauritius,7581,973,8554
Bahrain,6986,4123,11109
Ecuador,6157,5371,11528
Estonia,6155,8761,14916
Brunei,6149,616,6765
Vietnam,6148,3666,9814
Kenya,5450,7541,12991
Cyprus,4416,3457,7873
CanaryIslands,4174,7016,11190
Taiwan,4106,497,4603
Guatemala,3857,1694,5551
Ukraine,3780,1102,4882
Botswana,3439,1932,5371
Jamaica,3404,768,4172
Pakistan,3282,3910,7192
Panama,3235,3641,6876
TrinidadandTobago,2773,2339,5112
Kazakhstan,2763,1620,4383
Georgia,2583,1021,3604
Egypt,2573,2471,5044
Nigeria,2544,5643,8187
Iran,2319,3049,5368
Ghana,2236,3107,5343
Bangladesh,2138,5815,7953
Paraguay,2121,1395,3516
NorthernMarianaIslands,2091,1513,3604
Cambodia,1933,2099,4032
DominicanRepublic,1902,1347,3249
Qatar,1692,4636,6328
Serbia,1685,714,2399
FrenchGuiana,1681,4049,5730
Martinique,1505,2499,4004
U.S.VirginIslands,1451,862,2313
Senegal,1429,4883,6312
Morocco,1323,945,2268
Liechtenstein,1293,676,1969
Curacao,1264,1063,2327
Cameroon,1239,1023,2262
SriLanka,1141,2814,3955
Nepal,1133,2532,3665
Bonaire,1074,968,2042
Aruba,1060,3106,4166
Albania,1018,641,1659
Laos,965,1277,2242
PapuaNewGuinea,924,4020,4944
Mongolia,909,1686,2595
Kuwait,906,671,1577
SintMaarten,903,1847,2750
Kosovo,901,1024,1925
Tunisia,817,2059,2876
Lebanon,800,2404,3204
Uganda,748,1299,2047
UnitedArabEmirates,732,6514,7246
CaboVerde,730,292,1022
SaudiArabia,712,2090,2802
Venezuela,704,895,1599
Belize,702,494,1196
Moldova,697,228,925
Guadeloupe,689,1854,2543
Mozambique,675,1234,1909
Namibia,650,1279,1929
Djibouti,633,379,1012
Eswatini,632,564,1196
Algeria,629,312,941
Seychelles,604,945,1549
ElSalvador,550,370,920
Oman,542,935,1477
Montenegro,533,538,1071
Cuba,526,1153,1679
Togo,517,581,1098
Benin,515,809,1324
Guam,490,475,965
Hungary,486,552,1038
Zambia,482,1924,2406
Crimea,436,124,560
Iraq,407,1038,1445
Haiti,396,516,912
Guinea,395,637,1032
NorthMacedonia,374,795,1169
Mayotte,373,894,1267
Nicaragua,328,736,1064
Maldives,327,967,1294
Gambia,324,1168,1492
Andorra,323,70,393
Zimbabwe,315,715,1030
SaintMartin,300,42,342
CaymanIslands,286,102,388
Malawi,279,1157,1436
BosniaandHerzegovina,261,1371,1632
SolomonIslands,247,111,358
DemocraticRepublicoftheCongo,246,1957,2203
CotedIvoire,237,713,950
Jordan,237,1393,1630
Uruguay,232,934,1166
Barbados,218,126,344
Bermuda,206,110,316
SaintLucia,205,147,352
