country,sample,loss
USA,2546397.0,85.19667053222656
UnitedKingdom,1436587.0,112.54692077636719
Germany,571748.0,128.17886352539062
Japan,448379.0,118.38490295410156
Denmark,373058.0,160.20289611816406
France,370708.0,128.1783447265625
Canada,339946.0,121.8802490234375
Austria,186111.0,193.3223419189453
Australia,169697.0,135.0246124267578
SouthKorea,150979.0,143.9668426513672
Spain,134327.0,123.36412811279297
Sweden,124100.0,145.91574096679688
Brazil,114959.0,137.7315216064453
India,111921.0,198.1757049560547
Israel,111897.0,163.4056396484375
Belgium,98663.0,157.78500366210938
Italy,93977.0,149.2815399169922
Netherlands,82193.0,146.71482849121094
China,64448.0,190.14892578125
Ireland,60009.0,176.87498474121094
Switzerland,56792.0,174.3909454345703
Russia,49462.0,144.8015594482422
Mexico,45284.0,168.91110229492188
Poland,44848.0,198.3424072265625
Indonesia,39364.0,201.3568878173828
NewZealand,37627.0,173.7584228515625
Slovenia,36974.0,187.7052001953125
Peru,36731.0,164.71388244628906
Norway,35768.0,190.7007598876953
CzechRepublic,33923.0,199.19842529296875
Singapore,33766.0,176.7651824951172
Malaysia,32635.0,174.20346069335938
Luxembourg,31644.0,220.4014434814453
Slovakia,27812.0,205.79335021972656
SouthAfrica,26960.0,174.60684204101562
Chile,25579.0,177.58963012695312
Finland,25377.0,175.0650634765625
Croatia,25239.0,193.1988525390625
Thailand,25192.0,175.14427185058594
Portugal,24061.0,184.0293426513672
Greece,22889.0,191.68060302734375
Turkey,21859.0,255.51429748535156
PuertoRico,18347.0,181.96278381347656
Philippines,15490.0,221.12954711914062
Latvia,14356.0,255.48556518554688
Colombia,14116.0,182.01463317871094
HongKong,13707.0,220.41668701171875
Reunion,12125.0,217.4255828857422
Lithuania,12053.0,273.2156982421875
Romania,11737.0,214.60916137695312
Iceland,11231.0,273.02423095703125
CostaRica,9598.0,174.48304748535156
Argentina,9584.0,189.8167266845703
Bulgaria,7794.0,241.21002197265625
Mauritius,7581.0,214.9212646484375
Bahrain,6986.0,284.25640869140625
Ecuador,6157.0,214.78573608398438
Estonia,6155.0,275.1676330566406
Brunei,6149.0,226.9796905517578
Vietnam,6148.0,233.36590576171875
Kenya,5450.0,269.7219543457031
