date,total,Omicron
2021/11/1,26886,3
2021/11/2,29739,5
2021/11/3,31259,7
2021/11/4,29063,6
2021/11/5,27846,8
2021/11/6,18918,14
2021/11/7,18063,2
2021/11/8,37249,19
2021/11/9,32323,9
2021/11/10,31977,12
2021/11/11,26813,14
2021/11/12,26418,11
2021/11/13,20446,13
2021/11/14,16501,14
2021/11/15,36779,121
2021/11/16,33958,65
2021/11/17,30915,84
2021/11/18,28633,56
2021/11/19,25197,66
2021/11/20,20881,44
2021/11/21,19392,43
2021/11/22,38764,154
2021/11/23,30332,174
2021/11/24,28160,282
2021/11/25,20516,192
2021/11/26,27345,305
2021/11/27,19897,249
2021/11/28,21452,250
2021/11/29,48994,659
2021/11/30,38522,741
2021/12/1,35604,952
2021/12/2,33623,898
2021/12/3,31273,1118
2021/12/4,24896,819
2021/12/5,22889,846
2021/12/6,49700,2420
2021/12/7,38290,2902
2021/12/8,34467,3470
2021/12/9,31763,3804
2021/12/10,30335,4732
2021/12/11,21930,3988
2021/12/12,20660,5397
2021/12/13,42925,10859
2021/12/14,42073,15079
2021/12/15,40558,18304
2021/12/16,36010,15814
2021/12/17,33304,15975
2021/12/18,28357,16596
2021/12/19,22561,14088
2021/12/20,48906,27859
2021/12/21,43377,29083
2021/12/22,43780,31321
2021/12/23,38265,27103
2021/12/24,21738,15589
2021/12/25,13349,9797
2021/12/26,27349,21835
2021/12/27,59725,46776
2021/12/28,52369,44027
2021/12/29,54410,46568
2021/12/30,51897,44322
2021/12/31,29956,25635
2022/1/1,20255,17887
2022/1/2,36041,32366
2022/1/3,68058,60695
2022/1/4,66524,61466
2022/1/5,53149,48962
2022/1/6,48043,44619
2022/1/7,44511,40992
2022/1/8,30037,28149
2022/1/9,26185,24721
2022/1/10,60501,57123
2022/1/11,54608,52077
2022/1/12,48085,46078
2022/1/13,45577,43741
2022/1/14,44306,42824
2022/1/15,31117,30123
2022/1/16,27698,27041
2022/1/17,59501,57926
2022/1/18,58256,56954
2022/1/19,53745,52904
2022/1/20,44971,44263
2022/1/21,42559,41928
2022/1/22,29348,28848
2022/1/23,26848,26463
2022/1/24,57413,56645
2022/1/25,47958,47386
2022/1/26,41428,41040
2022/1/27,40349,39997
2022/1/28,33504,33137
2022/1/29,27007,26832
2022/1/30,27869,27752
2022/1/31,57602,57233
2022/2/1,44594,44104
2022/2/2,43723,43439
2022/2/3,42852,42639
2022/2/4,36726,36523
2022/2/5,27557,27443
2022/2/6,28069,27988
2022/2/7,55137,54866
2022/2/8,44915,44739
2022/2/9,38057,37898
2022/2/10,37330,37208
